state,address,latitude,longitude
maharashtra,"Dr.  Jariwala  Lab  &  Diagnostics  LLP,  1st   Floor,  Rasraj  Heights, Rokadia Lane, Off Mandpeshwar Road, Borivli (W), Mumbai",19.235817,72.856489
maharashtra,"Ruby Hall Clinic, Dept of Laboratory, Grant Medical Foundation, 40, Sassoon Road, Pune",18.533379,73.87703
maharashtra,"Metropolis Healthcare Limited, Construction House, 796/189-B, Bhandarkar Institute Road, Pune",18.518278,73.834451
maharashtra,"Qualilife   Diagnostics,   Balaji   Arcade,  1st    Floor,   544/A,   Netaji Subhash Road, Mulund (W), Mumbai",19.176067,72.953748
orissa," Dept of Lab Services, Apollo Hospitals, Bhubaneswar",20.305735,85.831659
tamil nadu,"Dept. of Clinical Virology, CMC, Vellore",12.924615,79.134808
tamil nadu,"Department of Laboratory Services, Apollo Hospitals Enterprise Ltd, Chennai",13.061118,80.253313
tamil nadu,"Neuberg  Ehrlich  Lab  Pvt  Ltd,  46-48  Masilamani  Road,  Balaji Nagar, Chennai",13.048611,80.266064
tamil nadu,"Sri  Ramachandra  Medical  College  &  Research  Institute,  Porur, Chennai",13.039121,80.142158
tamil nadu,"Microbiology Lab, Veerakeralam Road, Coimbatore",11.023361,76.910401
tamil nadu," YRG CARE, Taramani, Chennai",13.084222,80.233422
tamil nadu,"Hitech   Diagnostic   Centre-   A   Unit   of   Dr.   Ganesan?s   Hitech Diagnostic Centre PVt Ltd, Poonamallee High Road, Chennai",13.085553,80.250448
tamil nadu,"MIOT   Hospitals   ?   Dept   of   Lab   Medicine,   4/112,   Mount Poonamallee Road, Manapakkam, Chennai",13.021581,80.185582
tamil nadu," Madras   Medical   Mission   Clinical   Lab   Services,   4-A,   Dr.   J. Jayalalitha Nagar, Mogappair East, Chennai",13.086145,80.187372
telangana," Laboratory Services,   Apollo  Hospitals, 6th  Floor, Health Street Building, Jubilee Hills, Hyderabad",17.413788,78.411919
telangana,"Vijaya Diagnostic Centre Pvt Ltd, Street No 19, Himayath Nagar, Hyderabad",17.401571,78.41216
telangana,"Vimta   Labs   Ltd,   Plot   No   142,   Phase   2,   IDA   Cherlapally, Hyderabad",17.470674,78.602282
telangana,"Apollo   Health   and   Lifestyle   Limited,   Diagnostic   Labortory, Bowenpally, Secunderabad",17.469132,78.484314
telangana,"Dr.   Remedies   Labs   Private   Ltd,   A3,   Titus   Plaza,   Sharma Commercial Complex, Punjagutta, Hyderabad",17.424513,78.453068
telangana,"Pathcare Labs Pvt Ltd, Medchal, Hyderabad",17.444741,78.469179
telangana,"American  Institute  of  Pathology  And  Lab  Sciences  Pvt  Ltd, Citizens Hospital, Serilingampally, Hyderabad",17.47039,78.310832
telangana,"Medcis  Pathlabs  India  Pvt  Ltd,  Plot  No  16  &  17,  Swathi  Plaza, Anand Nagar, New Bowenpally, Secunderabad",17.458771,78.478341
telangana,"Department of Lab Medicine, Yashoda  Hospital, 9th  Floor, 1-1- 156 & 157, Alexander Road, Secunderabad",17.442071,78.497037
telangana,"Biognosys  Technologies  (India)  Pvt  Ltd,  #8-148/174/11,  NRI Colony, Near Aleap Industrial Area, Medchal, Malkajgiri",17.533529,78.392618
up,"RML Mehrotra Pathology Pvt Ltd, Nirala Nagar,  Lucknow",26.87518,80.937716
up,"Dept of Lab Medicine, Jaypee Hospital, Sector 128, Noida",28.515438,77.371438
uttrakhand,"Dr.  Ahuja?s  Pathology  and  Imaging  Centre,  7-B,  Astley  Hall, Dehradun",30.326833,78.04702
west bengal,"Apollo Gleneagles Hospitals, 58 Canal Circular Road, Kolkata",22.574779,88.40166
west bengal,"Tata Medical Center, Rajarhat, Kolkata",22.577136,88.479629
west bengal,"Laboratory   Services,  Peerless  Hospitex  Hospital  &  Research Centre, 360, Panchasayar, Kolkata",22.48068,88.394172
west bengal,"AMRI Hospitals, Dept of Lab Medicine, JC 16-17, Sector III, Salt Lake City, Kolkata",22.568305,88.411658
west bengal,"Suraksha   Diagnostic   Pvt   Ltd   (Dept   of   Lab   Services),   12/1, Premises  No  02/0327,  DG  Block  (Newtown),  Action  Area  1D, Newtown, Kolkata",22.580647,88.476098
kerala,"DDRC SRL Diagnostics Pvt Ltd, Panampilly Nagar, Ernakulam",9.963522,76.295287
kerala,"MIMS Lab Services, Govindapuram, Kozhikode",11.245791,75.798655
